City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kuraymah,18.55,31.85,97.11,16,63,1.45,SD,1690838225
83,birobidzhan,48.8,132.95,68.7,96,100,6.55,RU,1690838225
84,ulladulla,-35.35,150.4667,48.0,77,0,6.64,AU,1690838226
85,saint-philippe,-21.3585,55.7679,69.39,86,42,14.29,RE,1690838226
86,huilong,31.8111,121.655,80.92,88,100,13.47,CN,1690838227
87,yomju-up,39.8933,124.5981,73.13,91,99,2.21,KP,1690838227
88,armidale,-30.5167,151.65,37.4,70,0,1.79,AU,1690838228
89,iqaluit,63.7506,-68.5145,49.73,76,75,5.75,CA,1690838048
90,dompu,-8.5356,118.4622,70.23,97,32,1.39,ID,1690838228
91,san andres,12.5847,-81.7006,84.22,89,40,9.22,CO,1690838229
92,praya,14.9215,-23.5087,81.14,83,40,10.36,CV,1690838230
93,al wajh,26.2455,36.4525,87.75,70,0,5.75,SA,1690838230
94,ibicui,-14.8417,-39.9867,67.95,84,99,3.13,BR,1690838230
95,copala,16.65,-98.9833,89.44,63,100,11.77,MX,1690838231
96,vadso,70.0744,29.7487,52.68,93,100,12.66,NO,1690838231
97,hawaiian paradise park,19.5933,-154.9731,81.91,82,20,10.36,US,1690838041
98,iskateley,67.6803,53.1512,67.33,64,10,7.31,RU,1690838232
99,sitka,57.0531,-135.33,62.49,77,100,6.91,US,1690838067
100,bilibino,68.0546,166.4372,47.03,76,100,3.15,RU,1690838233
101,glace bay,46.1969,-59.957,73.85,77,75,11.5,CA,1690838233
102,jamestown,42.097,-79.2353,72.52,65,75,10.36,US,1690838234
103,paradip garh,20.3167,86.6167,80.58,90,100,15.32,IN,1690838234
104,enewetak,11.3474,162.3373,82.76,82,100,14.83,MH,1690838234
105,bredasdorp,-34.5322,20.0403,47.41,81,58,4.81,ZA,1690838235
106,clinton,42.587,-82.9199,80.62,54,75,10.36,US,1690838235
107,bandarbeyla,9.4942,50.8122,75.76,84,52,28.95,SO,1690838236
108,bamyan,34.75,67.25,48.85,47,0,5.19,AF,1690838236
109,ushuaia,-54.8,-68.3,38.86,48,40,10.36,AR,1690838030
110,imbituba,-28.24,-48.6703,61.54,71,6,4.65,BR,1690838237
111,invercargill,-46.4,168.35,44.02,80,40,8.01,NZ,1690838237
112,callao,-12.0667,-77.15,71.89,68,75,14.97,PE,1690837991
113,tofol,5.3248,163.0078,82.33,77,100,8.19,FM,1690838238
114,katsuura,35.1333,140.3,78.84,90,100,8.39,JP,1690838238
115,coron,11.9986,120.2043,79.84,82,100,7.63,PH,1690838239
116,margaret river,-33.95,115.0667,57.45,78,39,14.05,AU,1690838239
